number,priority,module,title,upstream_state,local_state,root_cause_group,required_action,test_ref,evidence
788,P1,dns-ipv6,Can't download magnet using 1.28 & 1.29,fixed-verified,verified-effective,magnet-numbered-tracker-parameters,backported,test/MagnetTest.cc::testParseNumberedTracker,Confirmed: tr.<n>= canonicalization runs on the live magnet-parse path for every CLI/RPC magnet. Caveats: xt.<n>= is not canonicalized (still throws 'Missing xt'); std::isdigit/all_of rely on a transitive include.
826,P1,dns-ipv6,Parallel IPv6 and IPv4 downloading,fixed-verified,needs-attention,async-dns-family-completion,backported,none,"Only the AAAA-only half is fixed; the titled 'parallel IPv6+IPv4' half is untouched -- when the A answer arrives an event-loop turn before AAAA, getStatus returns 1 and the resolved IPv6 address is discarded (happy-eyeballs backup never engages). Pre-existing behaviour, not a new regression."
886,P1,filesystem-session,Downloading aborted for individual connection results in download still complete but with corrupted file ,fixed-verified,defective-fixed,http-corruption-on-partial-error,backported-fixed,test/HttpResponseTest.cc::testValidateResponse_allowsTransferEncoded206WithoutSegment (+ _rejectsWrongTransferEncodedRange + _rejectsTransferEncoded200ForSegment),"The ported 206-without-Content-Range rejection lacked the getSegment() guard and hard-failed a legitimate segment-less unknown-length response. Fixed. Final pass also validates transfer-encoded responses carrying Content-Range and rejects segmented transfer-encoded 200/206 without it, closing the wrong-range and ignored-range corruption bypasses."
1115,P1,http-range-retry,Corrupted download,fixed-verified,defective-fixed,http-corruption-on-partial-error,backported-fixed,test/HttpResponseTest.cc::testValidateResponse_allowsTransferEncoded206WithoutSegment (+ _rejectsWrongTransferEncodedRange + _rejectsTransferEncoded200ForSegment),"The ported 206-without-Content-Range rejection lacked the getSegment() guard and hard-failed a legitimate segment-less unknown-length response. Fixed. Final pass also validates transfer-encoded responses carrying Content-Range and rejects segmented transfer-encoded 200/206 without it, closing the wrong-range and ignored-range corruption bypasses."
1280,P1,tls-cert,Cookies load problem in recent releases of Firefox,fixed-verified,defective-rewritten,sqlite-cookie-schema-compat,backported-rewritten,test/Sqlite3CookieParserTest.cc::testMozParse_readOnlyWalSnapshot,"DEFECT: sqlite3_open_v2 opens lazily and returns OK for a read-only WAL db, so the immutable-URI fallback never triggered and the read failed later. Rewritten: probe with a trivial read and fall back to mode=ro&immutable=1. Found while running make check; RED proven (test errored pre-fix)."
1344,P1,dns-ipv6,Getting several errorCode=8 Invalid range header results,fixed-verified,verified-effective,http-content-range-tolerance,backported,test/HttpRequestTest.cc::testIsRangeSatisfied,Confirmed: the relaxed end-byte tolerance runs on the live segmented-HTTP path and stops the spurious errorCode=8; the write path stays clamped to the segment length so no corruption. The companion entityLength assertion is primitive-only (production re-rejects one step later).
1399,P1,tls-cert,No retries on SSL errors,fixed-verified,verified-effective,client-tls-handshake-retry,backported,test/SocketCoreTest.cc::testClientTlsHandshakeRemoteCloseIsRetriable (+ testWinTlsContextAllowsTls13Minimum),Confirmed: the client-side handshake-failure reclassification to DL_RETRY_EX is backend-neutral (above TLSSession) and reaches AbstractCommand's retry path on all shipped backends; server side still aborts. #1794's unknown-version abort is removed and reachable; the two WinTLS regressions it rode in with (min-tls-version no-op and dropped strong-crypto) are fixed by this branch. Caveat: permanent cert failures are also retried (widening of existing behaviour).
1430,P1,tls-cert,Should be all #ifdef ENABLE_SSL,fixed-verified,ported-ineffective,feature-macro-build-matrix,backported,n/a,"#if ENABLE_SSL -> #ifdef ENABLE_SSL (and a HAVE_SLEEP twin): exactly equivalent in this fork (macro is 1-or-undefined, no -Wundef, no CMake). Correct and worth keeping but zero behavioural/diagnostic delta here."
1502,P1,bittorrent-dht,Error when build with --disable-bittorrent and --disable-metalink,fixed-verified,ported-ineffective,feature-macro-build-matrix,backported,n/a,Nesting the internal bignum/arc4 sources under if ENABLE_BITTORRENT is correct but fixes no build error here (those TUs never referenced BT symbols); only removes two object files in the BT-off + no-crypto-lib config. Half-applied (the Lib*ARC4/DH files stay outside the guard).
1547,P1,dns-ipv6,Exception (SocketCore.cc) Error in the pull function,fixed-verified,verified-effective,client-tls-handshake-retry,backported,test/SocketCoreTest.cc::testClientTlsHandshakeRemoteCloseIsRetriable (+ testWinTlsContextAllowsTls13Minimum),Confirmed: the client-side handshake-failure reclassification to DL_RETRY_EX is backend-neutral (above TLSSession) and reaches AbstractCommand's retry path on all shipped backends; server side still aborts. #1794's unknown-version abort is removed and reachable; the two WinTLS regressions it rode in with (min-tls-version no-op and dropped strong-crypto) are fixed by this branch. Caveat: permanent cert failures are also retried (widening of existing behaviour).
1548,P1,dns-ipv6,IPv6 websites downloads don't start if IPv4 is locally available,fixed-verified,verified-effective,async-dns-family-completion,backported,primitive-only: test/AsyncNameResolverManTest.cc::testIPv6OnlySuccessCompletesAfterIPv4Error,"Confirmed: the new success && success+error==numResolver predicate lets an AAAA-only host start (old predicate hung until timeout). Reaches production via AbstractCommand::resolveHostname on the c-ares build (the only one that compiles this file; release builds use it). Side effect: numResolver==0 now returns -1, changing an abort message."
1556,P1,bittorrent-dht,Assertion failed in Piece.cc:353,fixed-verified,unsafe-port-resolved,piece-assertion-boundary,backported-root-fixed,test/DefaultPieceStorageTest.cc::testMarkPiecesDoneZeroReleasesWrCache (+ test/WrDiskCacheTest.cc::testUpdateRejectsRemovedEntry),"The ported restore branch was production-unreachable and the live reindex branch masked a use-after-free by re-inserting a potentially dangling entry. Reverted the fallback so update fails closed, then fixed the root cause: markPiecesDone(0) detaches every in-flight WrDiskCacheEntry before destroying its Piece."
1588,P1,rpc-websocket,Aria2 JSON-RPC parse Options incorrect.,fixed-verified,verified-effective,rpc-option-json-type-coercion,backported,test/RpcMethodTest.cc::testAddUri_acceptsJsonBoolOption,"Confirmed: JSON-RPC option type coercion (Bool/Integer->string) sits on both option-dict readers, so all stock methods and the fork's requeueDownloadResult inherit it. Caveats: JSON floats arrive as Integer(1) and are now applied; {""continue"":1} coerces to a value BooleanOptionHandler rejects; the fork's searchDownloadResult/getDownloadResultCount parse params raw and bypass coercion; XML-RPC bool still unhandled."
1661,P1,bittorrent-dht,"save-session windows path ""//"" Error",fixed-verified,verified-effective,windows-session-path-normalization,backported,primitive-only: test/ProtocolDetectorTest.cc::testIsStreamProtocol,"Confirmed: the scheme whitelist reaches every CLI/input-file/session URI and reclassifies E://... as a local torrent path; loses no supported scheme. Band-aid: the '//' still originates in applyDir (--dir E:/ builds E://<hash>.torrent), untouched."
1723,P1,tls-cert,Segmentation fault on certificate with no read permission,fixed-verified,verified-effective,certificate-file-error-handling,backported,primitive-only: test/BufferedFileTest.cc::testTransferWithClosedFile,"Confirmed: the new !*this guard in IOFile::transfer prevents the null-FILE* segfault on an unreadable certificate; four TLS-backend call sites reach it and the server path escalates to DL_ABORT_EX. Non-crash caveats (misleading error text; client --certificate errors now dropped silently) noted, not regressions."
1727,P1,bittorrent-dht,Metalink checksum verification doesn't happen for bittorrent URLs,fixed-verified,unsafe-port-resolved,metalink-bt-checksum-flow,reverted,test/BtDependencyTest.cc::testResolve_dropsUnsupportedWholeFileChecksum,"The consumer path was unreachable at BT completion; in its one reachable path it could clear a piece-hash-verified bitfield persisted into SQLite3. Reverted the whole-file checksum carryover and dead scheduling while preserving the effective #2033 policy. The original unsupported checksum feature remains open without the integrity-state regression."
1752,P1,rpc-websocket,Aria2c allows unauthorized websocket connections,fixed-verified,defective-rewritten,websocket-auth-before-notifications,backported-rewritten,test/RpcHelperTest.cc (7 auth cases); test/e2e/websocket-auth.e2e.test.mjs,"DEFECT: createJsonRpcErrorResponse hard-coded AUTHORIZED, so any malformed WS message marked the session authorized and it then received all notifications. Rewritten: error responses report NOTAUTHORIZED; all_authorized() adds a non-empty-batch guard. RED proven end-to-end (attacker received onDownloadStart+GID pre-fix)."
1794,P1,dns-ipv6,Assertion failure when connecting via TLS,fixed-verified,verified-effective,crash-with-insufficient-repro,backported,test/SocketCoreTest.cc::testClientTlsHandshakeRemoteCloseIsRetriable (+ testWinTlsContextAllowsTls13Minimum),Confirmed: the client-side handshake-failure reclassification to DL_RETRY_EX is backend-neutral (above TLSSession) and reaches AbstractCommand's retry path on all shipped backends; server side still aborts. #1794's unknown-version abort is removed and reachable; the two WinTLS regressions it rode in with (min-tls-version no-op and dropped strong-crypto) are fixed by this branch. Caveat: permanent cert failures are also retried (widening of existing behaviour).
1839,P1,filesystem-session,Retry when connections got 503,fixed-verified,defective-rewritten,per-segment-503-retry,backported-rewritten,test/e2e/503-max-tries.e2e.test.mjs,"DEFECT (unbounded-by-design): 503 reset the try count on wake so a permanently-503 server retried forever. Rewritten: independent consecutive-503 counter capped at max-tries, reset on any non-503 outcome AND on a successful 2xx. RED proven (infinite retry pre-fix)."
1863,P1,bittorrent-dht,core dump in replacement_assert GZipEncoder6encode,fixed-verified,ported-ineffective,gzip-json-rpc-assertion,backported,primitive-only: test/GZipEncoderTest.cc::testEncodeBinaryChunk,The GZipEncoder append crash was already fixed upstream in 1.37.0 (commit 42038422); this port is a semantically-identical refactor (no-op). Test never reaches the avail_out==0 boundary that caused the abort.
1971,P1,dns-ipv6,Strange Range request for the second segment of mp4 files,fixed-verified,verified-effective,http-content-range-tolerance,backported,test/HttpRequestTest.cc::testIsRangeSatisfied,Confirmed: the relaxed end-byte tolerance runs on the live segmented-HTTP path and stops the spurious errorCode=8; the write path stays clamped to the segment length so no corruption. The companion entityLength assertion is primitive-only (production re-rejects one step later).
2033,P1,dns-ipv6,ERROR Checksum error detected before download with check-integrity=true,fixed-verified,verified-effective,checksum-before-download,backported,primitive-only: test/BtPostDownloadHandlerTest.cc::testBtIncompleteHashCheckReportPolicy,"Confirmed: the incomplete-as-error gate sits on the --check-integrity BT path and correctly narrows the misleading 'Checksum error' to --hash-check-only. Scope gap: StreamCheckIntegrityEntry does not override shouldReportIncompleteAsError, so resumed HTTP/Metalink --check-integrity still emits it."
2061,P1,dns-ipv6,Downloaded Videos are broken/corrupted,fixed-verified,defective-fixed,http-corruption-on-partial-error,backported-fixed,test/HttpResponseTest.cc::testValidateResponse_allowsTransferEncoded206WithoutSegment (+ _rejectsWrongTransferEncodedRange + _rejectsTransferEncoded200ForSegment),"The ported 206-without-Content-Range rejection lacked the getSegment() guard and hard-failed a legitimate segment-less unknown-length response. Fixed. Final pass also validates transfer-encoded responses carrying Content-Range and rejects segmented transfer-encoded 200/206 without it, closing the wrong-range and ignored-range corruption bypasses."
2073,P1,dns-ipv6,Don't reuse TLS session if the SNI host doesn't match,fixed-verified,verified-effective,tls-session-sni-scope,backported,primitive-only: test/DownloadEngineTest.cc::testHttpsSocketPoolRequiresSameHostname,Confirmed by code-reading: after the fix no pool path lets an HTTPS request reuse a socket whose TLS SNI was a different host (all four lookup paths + every insertion path checked). Redirect ordering files the socket under the pre-redirect host. Test is primitive-only but the production chain genuinely reaches the fixed code.
2109,P1,dns-ipv6,DNS over IPv6 link local fails,fixed-verified,ported-ineffective,async-dns-family-completion,backported,none,"'DNS over IPv6 link-local' concerns --async-dns-server pointing at a link-local resolver (setServers), which this commit does not touch; an unusable server still returns -1 identically before/after. Grouped by topic, not mechanism."
2116,P1,tls-cert,bad performance on network file systems,fixed-verified,verified-effective,disk-cache-contiguous-write-coalescing,backported,primitive-only: test/DirectDiskAdaptorTest.cc::testWriteCache_mergesContiguousCells,"Confirmed: userspace write coalescing (no new syscalls) on the default --disk-cache path; no perf regression on local FS. Scope gap: MultiDiskAdaptor (multi-file torrents) is untouched, so the common BT-on-NAS case gets no benefit."
2119,P1,dns-ipv6,Acceptance of invalid IPv6 address,fixed-verified,needs-attention,uri-ipv6-literal-validation,backported,test/UriSplitTest.cc::testUriSplit_fail,"Effective and unbypassable for the reported invalid literals, and legitimate forms (::ffff:1.2.3.4 etc) still pass. REGRESSION (niche): RFC 6874 zone identifiers ([fe80::1%25eth0] / [fe80::1%eth0]) and IPvFuture are now hard-rejected at parse time; they worked before. Not fixed (scoped IPv6 literals in URLs are rare)."
2122,P1,tls-cert,Android SSL/TLS handshake failure: protocol error,fixed-verified,verified-effective,client-tls-handshake-retry,backported,test/SocketCoreTest.cc::testClientTlsHandshakeRemoteCloseIsRetriable (+ testWinTlsContextAllowsTls13Minimum),Confirmed: the client-side handshake-failure reclassification to DL_RETRY_EX is backend-neutral (above TLSSession) and reaches AbstractCommand's retry path on all shipped backends; server side still aborts. #1794's unknown-version abort is removed and reachable; the two WinTLS regressions it rode in with (min-tls-version no-op and dropped strong-crypto) are fixed by this branch. Caveat: permanent cert failures are also retried (widening of existing behaviour).
2145,P1,tls-cert,"make fails on macOS if configured ""--without-appletls""",fixed-verified,verified-effective,feature-macro-build-matrix,backported,n/a (build matrix),"Confirmed: #ifdef HAVE_APPLETLS leaves the shipped --with-appletls macOS build unchanged, and fixes the link failure for a hypothetical --without-appletls --with-openssl macOS build. Residual: --without-appletls --without-openssl --without-gnutls on macOS trades a link error for a compile error (getentropy needs <sys/random.h>), a config no lane builds."
2171,P1,dns-ipv6,Failed to download file from ipv6 server,fixed-verified,verified-effective,async-dns-family-completion,backported,primitive-only: test/AsyncNameResolverManTest.cc::testIPv6OnlySuccessCompletesAfterIPv4Error,"Confirmed: the new success && success+error==numResolver predicate lets an AAAA-only host start (old predicate hung until timeout). Reaches production via AbstractCommand::resolveHostname on the c-ares build (the only one that compiles this file; release builds use it). Side effect: numResolver==0 now returns -1, changing an abort message."
